# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.1749399246027643 1.8945833333333368 4.0146553684391595 3 2 1 0 0 1.0972539335414568 23.50475 27.643 2.108 8.461000000000002 0.7359650159555606 0.2120215121796893 7.902500000000003 0.073456 0.038889 0.887083 0.037208 0.821074 0.12157 0.9443 0.9822 0.9943
001 00 4 -0.10380758044320615 1.790583333333334 4.0146553684391595 3 2 1 0 0 1.0936456437124595 23.50475 28.652 1.205 6.247 0.16055706739234665 0.7967990275526733 4.936 0.038429 0.033876 0.920016 0.039148 0.828648 0.118725 0.9497 1.0034 1.0219
001 00 5 -0.17848369456852353 1.8955833333333345 4.0146553684391595 3 2 1 0 0 1.0972498788539329 23.50475 27.642 2.110 8.460000000000004 0.7368794326241142 0.21123552856329458 7.903500000000005 0.073484 0.038878 0.887057 0.037206 0.821089 0.121567 0.9443 0.9822 0.9943
001 00 7 -0.6116935884391346 6.785583333333335 3.0639210465526094 1 0 2 0 0 1.0893309036429197 165.54075 32.748 -7.887 8.256 0.159883720930233 0.7976080956761731 6.522000000000002 0.055516 0.032065 0.902628 0.03922 0.825403 0.124019 0.9333 1.018 1.0273
001 00 9 -0.3820444136493677 5.910583333333335 3.0584900338911774 1 0 2 0 0 1.0904777655192517 127.90675 32.050 -6.314 5.780999999999999 0.8609237156201346 0.10806451612903256 5.579999999999998 0.040867 0.039642 0.916833 0.039715 0.819344 0.122465 0.917 1.0591 1.0211
001 00 11 -0.2655194729863197 2.4805833333333354 2.018988056156897 1 0 1 0 0 1.0629612411194682 93.18975 34.980 -5.813 10.641000000000002 0.9573348369514143 0.03234386131560203 10.527500000000003 0.053511 0.017999 0.903622 0.040744 0.828943 0.133688 1.018 1.2655 1.0276
001 01 3 -0.19618561500409015 1.5475833333333355 4.018271193628572 3 2 1 0 0 1.0824026070366146 21.425749999999994 28.144 1.955 8.562999999999999 0.7374751839308656 0.21072365954255698 8.000999999999998 0.069186 0.034436 0.890274 0.038196 0.819877 0.126025 0.9497 0.9843 0.9959
001 01 4 -0.10761464072541216 1.650583333333337 4.018271193628572 3 2 1 0 0 1.088138476063364 21.425749999999994 28.838 1.158 6.245999999999999 0.11207172590457941 0.8559522584628052 4.859499999999997 0.035954 0.033707 0.922312 0.039301 0.826916 0.120141 0.9476 1.004 1.0222
001 01 5 -0.17518561500408936 1.7645833333333343 4.018271193628572 3 2 1 0 0 1.091979794023644 21.425749999999994 27.790 2.091 8.724000000000004 0.7056396148555716 0.238307349665924 8.082000000000004 0.074222 0.039038 0.886478 0.037034 0.819668 0.122436 0.9433 0.9835 0.9944
001 01 7 -0.6154039631226986 6.631583333333335 3.0655545577719874 1 0 2 0 0 1.0811144889631532 163.14475000000002 33.208 -8.193 8.601000000000003 0.15591210324380853 0.8023872679045096 6.786000000000001 0.048603 0.028573 0.908388 0.040303 0.824541 0.12762 0.9342 1.0185 1.029
001 01 9 -0.3305268440460374 6.3245833333333366 3.0561412249805144 1 0 2 0 0 1.1227269787174485 129.67975 31.052 -5.730 5.7379999999999995 0.5935866155454854 0.33928225024248304 5.155000000000001 0.050443 0.049303 0.910098 0.037109 0.821501 0.112975 0.9021 1.0529 1.0168
001 01 11 -0.1692826400537406 2.7735833333333346 2.0191829678490283 1 0 1 0 0 1.0817975078027404 90.86775 34.269 -5.396 10.666999999999998 0.9578138183181772 0.0319768818987164 10.554499999999997 0.066201 0.027907 0.893193 0.038597 0.827243 0.127031 1.0051 1.2647 1.0244
001 02 3 -0.1691589625201324 2.9505833333333342 3.9979709034248905 3 2 1 0 0 1.1432233108455583 25.098749999999995 26.268 2.428 8.579999999999998 0.7069930069930066 0.23712507074136907 7.951499999999999 0.08197 0.053505 0.882277 0.033795 0.822634 0.108577 0.9226 0.9759 0.9888
001 02 4 -0.11107065942449879 2.3775833333333374 3.9979709034248905 3 2 1 0 0 1.1166946331395438 25.098749999999995 28.229 1.040 5.947000000000003 0.21203968387422326 0.7359438802219661 4.775500000000001 0.044287 0.040489 0.91555 0.037887 0.829602 0.112877 0.9413 0.9994 1.0173
001 02 5 -0.20372050764065008 1.493583333333337 3.9979709034248905 3 2 1 0 0 1.0684074855888035 25.098749999999995 28.297 1.856 8.467999999999996 0.7416154936230519 0.20717081176619076 7.920999999999999 0.076292 0.026386 0.882511 0.038736 0.822245 0.130545 0.9689 0.9872 0.9961
