# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -2.1809729065732313 22.616500000000002 4.0146553684391595 3 1 0 0 1 1 0 0 238.004 -75.233 36.03200000000001 0.6332149200710478 0.30285993644585685 32.72800000000001 -0.006669 -0.062664 2.995242 2.96405 0.046068 0.043486922336874276 2.748962 3.10453 0.192308 0.03957534824862571 3.958 0.9895 3.9565 0.989125 3.9383
001 00 2 -16.932256390160774 157.8295 3.0639210465526094 1 2 0 0 4 1 0 0 255.691 -228.134 253.516 0.0003628962274569832 0.9995161968868322 190.16 -0.061463 -0.002179 3.13389 2.846858 0.076515 0.03279007627824817 2.799471 2.942899 0.239653 0.10814477454011977 3.8911 1.2970333333333333 3.8048 1.2682666666666667 3.8265
001 00 6 -8.388336003907398 121.01249999999999 3.0584900338911774 1 2 0 0 1 2 0 0 254.452 -190.077 188.696 -0.41501674651290965 1.6421964180279474 121.94399999999999 -0.096558 -0.073155 3.14009 2.876584 0.075695 0.06521502607017295 2.779212 3.021192 0.251104 0.05870994002154437 4.0176 1.3392 3.9257999999999997 1.3086 3.8465
001 00 8 -6.655499483484149 88.24849999999999 2.062114086178675 0 2 0 0 2 1 0 0 260.360 -163.221 303.33000000000004 0.9991164738074044 0.0006627910427582654 303.26300000000003 0.087553 -0.049764 3.025626 2.824841 0.053691 0.04422661882094691 2.837303 2.98136 0.206032 0.11445998819238094 4.1349 2.06745 3.8184 1.9092 3.69
001 00 10 -12.745342468113776 86.65549999999999 2.018988056156897 1 1 0 0 0 1 0 0 264.741 -166.009 168.386 0.8436212036630122 0.12205583332818301 161.803 -0.184549 -0.031052 3.220406 2.934164 0.024079 0.03950976895655049 2.873229 3.027809 0.110225 0.09351846947172164 3.8796999999999997 1.9398499999999999 3.8058 1.9029 3.8354
001 01 1 -2.00412363693178 20.674499999999995 4.018271193628572 3 1 0 0 1 1 0 0 238.559 -73.846 34.25799999999998 0.660108587775117 0.27859125275145963 31.34699999999998 0.005897 -0.056975 2.987784 2.959066 0.045971 0.042331792784304954 2.742174 3.10298 0.19443 0.03898642401315278 3.9587 0.989675 3.9547999999999996 0.9886999999999999 3.9381
001 01 2 -16.34480016149979 155.6395 3.0655545577719874 1 2 0 0 4 1 0 0 256.542 -226.795 253.61200000000002 -0.019675725123416837 1.0264074957067972 188.9615 -0.061292 -0.005317 3.127622 2.852057 0.077388 0.030832314887684543 2.794619 2.947003 0.242984 0.10927581581637057 3.9023000000000003 1.3007666666666668 3.8098 1.2699333333333334 3.8235
001 01 6 -8.695091068711122 122.68249999999999 3.0561412249805144 1 2 0 0 1 2 0 0 255.044 -192.339 186.713 -0.4385179392972102 1.6847878359560244 119.56549999999999 -0.11448 -0.075471 3.152109 2.881194 0.07694 0.06307612011688733 2.785625 3.017753 0.2506 0.054389321951402676 4.0099 1.3366333333333333 3.9318999999999997 1.3106333333333333 3.8478
001 01 8 -6.32617446153003 87.01849999999999 2.0611377744751787 0 2 0 0 2 1 0 0 260.464 -162.095 299.58799999999997 0.9979238153731126 0.0015579471166289561 299.4325 0.085658 -0.057085 3.016784 2.834737 0.054307 0.038048032051605535 2.831375 2.98877 0.210234 0.1198253602706873 4.1577 2.07885 3.8270999999999997 1.9135499999999999 3.6983
001 01 10 -11.886272493825743 84.44149999999999 2.0191829678490283 1 1 0 0 0 1 0 0 265.522 -164.576 171.47699999999998 0.8582317162068384 0.11023310227660908 165.3995 -0.179117 -0.035327 3.212602 2.935627 0.024867 0.03470861865589006 2.87121 3.029585 0.113152 0.09647856684431692 3.8943 1.94715 3.8072 1.9036 3.8254
001 02 1 -2.4712245892260114 24.057499999999976 3.9979709034248905 3 1 0 0 1 1 0 0 238.103 -76.773 33.45099999999999 0.700995485934652 0.24237088253824707 30.950499999999977 -0.024099 -0.067385 3.009666 2.966162 0.046893 0.044292012601973046 2.757289 3.103835 0.189956 0.03677066361018427 3.9619999999999997 0.9904999999999999 3.9565 0.989125 3.939
001 02 2 -18.31666766023389 161.4235 3.0596979778229123 1 2 0 0 4 1 0 0 255.876 -231.912 265.152 -0.0416817523533671 1.0563587131121208 196.101 -0.056236 -0.001595 3.139316 2.837908 0.074931 0.03139283288162019 2.801123 2.945493 0.235241 0.10943510611773534 3.8812 1.2937333333333334 3.7885999999999997 1.2628666666666666 3.8222
001 02 6 -9.232127830178598 126.8175 3.0491815223638183 1 2 0 0 1 2 0 0 254.837 -196.266 194.43699999999998 -0.42113898074954875 1.653217025044573 125.3565 -0.091484 -0.077522 3.138787 2.871839 0.076628 0.06405405596317329 2.787701 3.018817 0.249637 0.05613403278760576 4.014900000000001 1.3383000000000003 3.9166999999999996 1.3055666666666665 3.8331
001 02 8 -6.395658562685497 87.9455 2.057569081350961 0 2 0 0 2 1 0 0 260.875 -163.433 307.356 0.9946641679355536 0.004007219510923748 306.94599999999997 0.079724 -0.048316 3.030915 2.826933 0.054098 0.04662290824262251 2.836081 2.97891 0.208645 0.11463059073824931 4.1288 2.0644 3.8133 1.90665 3.6794
001 02 10 -14.266597739150157 91.36349999999999 2.022133625457723 1 1 0 0 0 1 0 0 263.208 -169.183 155.214 0.8222454160062881 0.13951583269562048 148.3165 -0.170024 -0.01205 3.220862 2.919996 0.023287 0.04707201258709895 2.864313 3.018332 0.110411 0.09838227868032604 3.8556 1.9278 3.7923 1.89615 3.8392
001 03 1 -2.2020036417397364 23.595499999999987 4.012067472210593 3 1 0 0 1 1 0 0 237.641 -75.849 36.81399999999999 0.5087738360406373 0.41999814201220115 32.29299999999998 -0.023179 -0.074614 2.99078 2.982029 0.048854 0.042984901539183835 2.755173 3.105128 0.197275 0.03406830744744057 3.9621000000000004 0.9905250000000001 3.9589 0.989725 3.9336
001 03 2 -15.421605790140774 149.7875 3.0737932438901625 1 2 0 0 4 1 0 0 255.196 -219.596 239.99599999999998 0.09765162752712539 0.8739023760330579 185.856 -0.055359 -0.011967 3.119359 2.851115 0.080408 0.03530328364331003 2.783243 2.947917 0.25806 0.11053173209083444 3.9131 1.3043666666666667 3.8070000000000004 1.2690000000000001 3.8337
001 03 6 -6.729889226461694 113.96349999999998 3.067586915029515 1 2 0 0 1 2 0 0 253.655 -182.232 176.359 -0.35346650865564005 1.5342331919269827 116.685 -0.069886 -0.080684 3.109724 2.876484 0.079199 0.061502540860791495 2.760661 3.024243 0.271186 0.06447830977933589 4.0499 1.3499666666666668 3.9201 1.3067 3.853
001 03 8 -7.1981314584258485 92.19949999999999 2.0731188289227043 0 2 0 0 2 1 0 0 260.421 -167.233 319.495 0.9786037340177467 0.01613349864374138 317.786 0.079311 -0.033506 3.055325 2.803618 0.05394 0.05410827960980953 2.847344 2.961199 0.202846 0.11066504307292947 4.0848 2.0424 3.8062000000000005 1.9031000000000002 3.6774
001 03 10 -15.91670589838921 94.85249999999999 2.0190115082460456 1 1 0 0 0 1 0 0 263.239 -172.704 156.83800000000002 0.8514773205473165 0.11568756642574063 151.0145 -0.185626 -0.014485 3.234335 2.923384 0.022476 0.04849329100332677 2.878159 3.018184 0.101889 0.09007191210915858 3.8247 1.91235 3.7830000000000004 1.8915000000000002 3.8458
001 04 1 -2.65481048099565 27.735500000000002 3.9973462048473465 3 1 0 0 1 1 0 0 238.758 -81.106 37.12299999999999 0.5354901274142706 0.39415457759356415 32.81199999999998 -0.032373 -0.065519 3.019331 2.964712 0.046945 0.040779943419937875 2.760526 3.099797 0.189141 0.041231414152318374 3.9593 0.989825 3.9551999999999996 0.9887999999999999 3.9379
001 04 2 -16.309850054455637 157.44549999999998 3.057384823520686 1 2 0 0 4 1 0 0 256.196 -228.254 234.286 0.00043536532272524784 0.999419597132127 175.74 -0.063327 -0.014705 3.133622 2.844644 0.080645 0.038508021727080885 2.806754 2.940165 0.246448 0.10358738464858225 3.9067 1.3022333333333334 3.7975 1.2658333333333334 3.8195
001 04 6 -6.906029565211426 114.07949999999998 3.064094604189017 1 2 0 0 1 2 0 0 254.042 -182.734 173.256 -0.4139192870665372 1.640226401281988 112.01350000000001 -0.069824 -0.08526 3.113877 2.873713 0.077828 0.06605312336546496 2.767132 3.029829 0.264576 0.06294449510746218 4.061100000000001 1.3537000000000001 3.9112 1.3037333333333334 3.8529
001 04 8 -7.972531066060711 94.03049999999999 2.071464854858228 0 2 0 0 2 1 0 0 260.385 -169.028 316.765 0.9846447682035581 0.011560803551904779 315.54900000000004 0.065346 -0.035904 3.067986 2.806687 0.052467 0.057062605709285084 2.85816 2.963476 0.192947 0.10220415415399385 4.082 2.041 3.8224 1.9112 3.7234
001 04 10 -15.137104280215581 91.88649999999998 2.0150433505155165 1 1 0 0 0 1 0 0 264.264 -170.763 170.924 0.8318433923849193 0.13165199388048623 163.7385 -0.195406 -0.03187 3.229436 2.937475 0.023156 0.04541320480139373 2.890635 3.02488 0.100212 0.0808695574201648 3.8447999999999998 1.9223999999999999 3.8045999999999998 1.9022999999999999 3.8588
