# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -2.169472906573219 22.60499999999999 4.0146553684391595 3 1 0 0 1 1 0 0 245.043 -82.826 36.19399999999999 0.6326462949660165 0.30337693945847266 32.870000000000005 -0.182879 0.235913 3.121749 2.980768 0.077241 0.07096587546372786 2.489198 2.812739 0.414758 0.02299033034415412 3.8443 0.961075 3.9623999999999997 0.9905999999999999 3.9629
001 00 2 -17.107756390160773 158.005 3.0639210465526094 1 2 0 0 4 1 0 0 254.475 -227.658 253.614 -0.00040218599919565726 1.0005363198990456 190.185 -0.087021 0.103401 3.18866 2.781893 0.108736 0.07036697261026181 2.556086 2.714911 0.568057 0.14890291218217772 3.7075 1.2358333333333333 3.7953 1.2651000000000001 3.929
001 00 6 -8.418836003907415 121.043 3.0584900338911774 1 2 0 0 1 2 0 0 251.976 -188.197 188.473 -0.4161497933390989 1.6442320723799042 121.74650000000001 0.034279 0.012711 3.085938 2.773179 0.098186 0.10400372392852093 2.554432 2.8119 0.560481 0.11610356853401765 3.8968 1.2989333333333333 3.8691000000000004 1.2897 3.868
001 00 8 -6.546999483484157 88.14 2.062114086178675 0 2 0 0 2 1 0 0 264.049 -167.368 303.764 0.9993481781909641 0.0004889460331989427 303.71450000000004 -0.213552 -0.049704 3.342893 2.775006 0.084549 0.06086458412191227 2.653551 2.852564 0.485009 0.1814154375524126 3.9614 1.9807 3.8488 1.9244 3.8713
001 00 10 -12.451842468113796 86.36200000000001 2.018988056156897 1 1 0 0 0 1 0 0 265.336 -166.876 168.511 0.8436303861468983 0.12204837469545801 161.9235 -0.080713 0.204736 3.150048 2.884242 0.039358 0.036134266843722354 2.677202 2.860269 0.215312 0.16764777999424868 3.7202 1.8601 3.7617000000000003 1.8808500000000001 3.8489
001 01 1 -1.9976236369317917 20.668000000000006 4.018271193628572 3 1 0 0 1 1 0 0 245.730 -81.576 34.42499999999998 0.6598983297022504 0.2787796050542883 31.49799999999999 -0.173129 0.245723 3.110269 2.983192 0.07659 0.06865581192441025 2.483732 2.807837 0.414547 0.023815901683539104 3.8468999999999998 0.9617249999999999 3.9683 0.992075 3.9683
001 01 2 -16.52430016149981 155.81900000000002 3.0655545577719874 1 2 0 0 4 1 0 0 255.148 -226.145 253.701 -0.020327077938202816 1.027287663404529 188.98649999999998 -0.08638 0.099131 3.179849 2.78881 0.109919 0.07041495707826094 2.551844 2.716418 0.573834 0.14991504309219048 3.7217 1.2405666666666666 3.8081 1.2693666666666668 3.9354
001 01 6 -8.715591068711134 122.703 3.0561412249805144 1 2 0 0 1 2 0 0 251.533 -189.413 186.48899999999998 -0.4393878459319317 1.6863793803897593 119.38149999999999 0.029202 0.00721 3.096656 2.767937 0.09779 0.1008649109502408 2.559939 2.810284 0.562239 0.11302907371262198 3.8834 1.2944666666666667 3.8661 1.2887 3.8646
001 01 8 -6.240674461530048 86.933 2.0611377744751787 0 2 0 0 2 1 0 0 264.794 -166.905 300.07599999999996 0.9977738972793561 0.0016705067203718479 299.909 -0.214863 -0.062596 3.33323 2.784255 0.086087 0.05703436091515359 2.649937 2.861976 0.48917 0.1873426494181183 3.9916 1.9958 3.8646 1.9323 3.8865
001 01 10 -11.600772493825758 84.156 2.0191829678490283 1 1 0 0 0 1 0 0 265.932 -165.266 171.59199999999998 0.8584199729591125 0.11008135042306448 165.51850000000002 -0.089132 0.194242 3.150076 2.891178 0.040614 0.030552316464277016 2.677302 2.865277 0.218117 0.16976123874822932 3.7339 1.86695 3.7668 1.8834 3.8496
001 02 1 -2.452724589226051 24.039000000000016 3.9979709034248905 3 1 0 0 1 1 0 0 244.959 -84.177 33.603999999999985 0.6999761933103202 0.2432641111843904 31.083499999999987 -0.192515 0.226294 3.137093 2.974933 0.077214 0.06917774148043092 2.496732 2.818516 0.411971 0.020862758262831255 3.8468000000000004 0.9617000000000001 3.9596000000000005 0.9899000000000001 3.9615
001 02 2 -18.49616766023391 161.603 3.0596979778229123 1 2 0 0 4 1 0 0 255.078 -231.859 265.213 -0.04222643686395468 1.0571057059813371 196.11 -0.085619 0.109189 3.191897 2.779354 0.106835 0.07102985936444853 2.5565 2.715145 0.56265 0.15033012782650498 3.705 1.235 3.7775 1.2591666666666665 3.9162
001 02 6 -9.260627830178606 126.846 3.0491815223638183 1 2 0 0 1 2 0 0 251.609 -193.633 194.16 -0.4216522455706635 1.6541433285658353 125.153 0.028436 0.002124 3.100035 2.765817 0.097331 0.09933990620088179 2.562189 2.812985 0.562486 0.11649666141282045 3.892 1.2973333333333332 3.8505000000000003 1.2835 3.8502
001 02 8 -6.275158562685505 87.825 2.057569081350961 0 2 0 0 2 1 0 0 263.283 -166.286 307.822 0.9946072730344161 0.0040500053674769896 307.407 -0.203024 -0.045958 3.346911 2.76142 0.083521 0.06553005241108847 2.652093 2.846396 0.489448 0.18193313679572864 3.9492000000000003 1.9746000000000001 3.8467000000000002 1.9233500000000001 3.8651
001 02 10 -13.979097739150177 91.07600000000001 2.022133625457723 1 1 0 0 0 1 0 0 264.866 -171.120 155.35600000000002 0.8221504158191507 0.1395938658861491 148.44850000000002 -0.049278 0.232724 3.130227 2.87384 0.038514 0.0397038280816011 2.667205 2.84278 0.215946 0.1753535889975832 3.6955 1.84775 3.7515 1.87575 3.8539
001 03 1 -2.1805036417397616 23.574000000000012 4.012067472210593 3 1 0 0 1 1 0 0 244.086 -82.838 36.94800000000001 0.5095810328028588 0.4192115491393672 32.418000000000006 -0.21371 0.210334 3.149195 2.978531 0.08248 0.06854836801363932 2.495432 2.817217 0.428211 0.011848565539057198 3.8466 0.96165 3.9596 0.9899 3.957
001 03 2 -15.606105790140788 149.972 3.0737932438901625 1 2 0 0 4 1 0 0 254.247 -219.397 240.272 0.09404341746021176 0.8784200416458167 185.853 -0.080182 0.080185 3.166728 2.787452 0.117749 0.07173077627722517 2.545069 2.71891 0.592492 0.15176544611120585 3.7442 1.2480666666666667 3.8083 1.2694333333333334 3.9544
001 03 6 -6.7913892264617175 114.025 3.067586915029515 1 2 0 0 1 2 0 0 252.843 -182.046 176.12300000000002 -0.35465555322132797 1.536271265019124 116.47650000000002 0.040949 -0.006432 3.058099 2.783229 0.108712 0.09866660642284197 2.54048 2.812251 0.586717 0.12313015633466887 3.9386 1.3128666666666666 3.8758000000000004 1.2919333333333334 3.88
001 03 8 -7.044631458425869 92.046 2.0731188289227043 0 2 0 0 2 1 0 0 262.231 -169.454 319.937 0.9784019978933354 0.016286440222557784 318.2095 -0.208073 -0.021346 3.367909 2.746868 0.082622 0.07598873148259114 2.65731 2.823772 0.48665 0.17983260173376053 3.8944 1.9472 3.8058000000000005 1.9029000000000003 3.832
001 03 10 -15.596205898389215 94.532 2.0190115082460456 1 1 0 0 0 1 0 0 264.097 -173.807 156.962 0.8510594921063698 0.11602560921137527 151.1175 -0.060329 0.241624 3.153204 2.86585 0.034816 0.0487331071586179 2.676307 2.839394 0.206291 0.16783733097655396 3.6639999999999997 1.8319999999999999 3.7314000000000003 1.8657000000000001 3.8395
001 04 1 -2.656310480995643 27.736999999999995 3.9973462048473465 3 1 0 0 1 1 0 0 245.066 -87.981 37.291 0.534472124641334 0.39513216594337086 32.95099999999999 -0.184869 0.222755 3.137656 2.967314 0.076542 0.0697690352615925 2.498927 2.816827 0.41528 0.03002160492600838 3.8445 0.961125 3.953 0.98825 3.9515
001 04 2 -16.499350054455647 157.635 3.057384823520686 1 2 0 0 4 1 0 0 253.781 -226.595 234.51600000000002 -0.002234389124835836 1.0029814060401923 175.756 -0.096374 0.070413 3.213743 2.76415 0.110191 0.0674130146583976 2.565443 2.722029 0.581794 0.1432467341652158 3.7269000000000005 1.2423000000000002 3.7756999999999996 1.2585666666666666 3.9114
001 04 6 -6.974529565211441 114.148 3.064094604189017 1 2 0 0 1 2 0 0 253.218 -182.544 173.028 -0.4152738285133043 1.6426581401068803 111.80749999999999 0.030438 -0.012496 3.06959 2.784543 0.106416 0.10602719223073548 2.546314 2.821984 0.579306 0.11901069331926997 3.9594 1.3198 3.8752999999999997 1.2917666666666665 3.8776
001 04 8 -7.818031066060726 93.876 2.071464854858228 0 2 0 0 2 1 0 0 262.540 -171.594 317.18600000000004 0.9844381530080141 0.01171696966627842 315.952 -0.204364 -0.024654 3.365886 2.746094 0.081753 0.07206941774659578 2.667177 2.832645 0.472946 0.168550995479113 3.9013 1.95065 3.7973 1.89865 3.8218
001 04 10 -14.806604280215595 91.556 2.0150433505155165 1 1 0 0 0 1 0 0 264.212 -170.945 171.027 0.8317107825080251 0.13176037575191585 163.8315 -0.090751 0.215276 3.178401 2.869577 0.036096 0.045688150786974704 2.688208 2.855289 0.205014 0.15454658136950164 3.6891 1.84455 3.7351 1.86755 3.8323
001 05 1 -1.7999260844011076 20.539000000000016 4.009923721369365 3 1 0 0 1 1 0 0 247.302 -83.019 42.76599999999999 0.3791797222092326 0.5511576733050075 36.1285 -0.163742 0.269025 3.108781 2.9827 0.069486 0.08014686984738292 2.48527 2.805521 0.394406 0.037308307953233845 3.8357 0.958925 3.9527 0.988175 3.9557
001 05 2 -17.311902177513844 160.731 3.0435223550595514 1 2 0 0 4 1 0 0 252.957 -228.866 239.4 0.07820384294068498 0.8983773045179815 184.2305 -0.07993 0.108592 3.215657 2.752064 0.104683 0.05858015066840757 2.571895 2.706536 0.557372 0.1354375399855348 3.6639 1.2213 3.7816 1.2605333333333333 3.8932
001 05 6 -8.517668368323712 117.111 3.0548432349368406 1 2 0 0 1 2 0 0 252.465 -184.754 191.317 -0.3828985401192785 1.5852253662901243 125.17399999999999 0.05825 0.070508 3.05624 2.782782 0.094591 0.11128053934089287 2.532396 2.795489 0.542135 0.1287278570952431 3.9086 1.3028666666666666 3.9096 1.3032000000000001 3.9024
001 05 8 -6.889277138379228 88.34 2.054866760963001 0 2 0 0 2 1 0 0 265.517 -169.035 295.203 0.9675206552778934 0.024558922972889898 292.806 -0.216927 -0.010666 3.314952 2.807289 0.083897 0.04075556776687079 2.647244 2.847767 0.453497 0.17526659688124638 3.9049000000000005 1.9524500000000002 3.8856 1.9428 3.9228
001 05 10 -8.79646925902631 75.864 2.0209073484751965 1 1 0 0 0 1 0 0 266.481 -157.523 192.882 0.8713513961904168 0.09969278733223165 186.67849999999999 -0.038012 0.203692 3.096673 2.891245 0.043022 0.021303484699300566 2.654965 2.860276 0.229794 0.18078211624586468 3.8101000000000003 1.9050500000000001 3.8361 1.91805 3.8867
001 06 1 -3.257358682423927 33.828 3.91682175212302 3 1 0 0 1 1 0 0 242.455 -91.461 32.995000000000005 0.7298984694650686 0.21724575031689874 30.766999999999996 -0.261401 0.148869 3.226841 2.94339 0.086808 0.05510786997335315 2.532669 2.834688 0.437188 0.014988653341778265 3.856 0.964 3.9412000000000003 0.9853000000000001 3.9351
001 06 2 -12.234194990467472 138.564 3.0634816378570644 1 2 0 0 4 1 0 0 255.424 -209.166 212.359 0.23795082854976718 0.706047631790206 171.90200000000002 -0.07155 0.008934 3.129521 2.804632 0.128209 0.07257876806844635 2.53583 2.756091 0.629283 0.15516760534660573 3.8994999999999997 1.2998333333333332 3.8721 1.2907 3.9756
001 06 6 -7.177645328000139 114.08500000000001 3.0682648418619967 1 2 0 0 1 2 0 0 250.846 -180.109 168.745 -0.4193368692405699 1.6499676214883094 108.86850000000001 0.035932 -0.008934 3.07374 2.774099 0.107276 0.09447040139818039 2.551214 2.804827 0.585914 0.11739720205070187 3.8963 1.2987666666666666 3.8819 1.2939666666666667 3.9033
001 06 8 -6.063150925881615 84.681 2.06070024622675 0 2 0 0 2 1 0 0 265.434 -165.293 295.02 0.9802928615009153 0.01485353403743275 293.56649999999996 -0.207333 -0.060282 3.312954 2.795755 0.087272 0.05122849388117257 2.644751 2.867161 0.483832 0.1882398335271611 4.0042 2.0021 3.883 1.9415 3.9029
001 06 10 -10.402024922905596 82.261 2.017989382955205 1 1 0 0 0 1 0 0 266.382 -163.821 178.947 0.9078051043046266 0.07077750289579432 174.8225 -0.100789 0.185552 3.153363 2.898511 0.041418 0.022244427264673097 2.677619 2.868039 0.220596 0.17074046339693474 3.7526 1.8763 3.7819000000000003 1.8909500000000001 3.8573
001 07 1 -3.4411099095119653 33.76400000000001 3.983427755042377 3 1 0 0 1 1 0 0 247.956 -96.898 59.51100000000001 0.1696997193796103 0.7858475762330887 47.158000000000015 -0.160092 0.303295 3.107019 2.986696 0.063958 0.0676973701409442 2.500424 2.798492 0.358466 0.0665128896104607 3.7789 0.944725 3.9541000000000004 0.9885250000000001 3.961
001 07 2 -16.46650200503325 154.254 3.0350188255150243 1 2 0 0 4 1 0 0 256.215 -225.647 232.608 0.008838904938781113 0.9882494141852888 174.97 -0.104954 0.115988 3.187224 2.812728 0.097215 0.06263930220982143 2.575955 2.736316 0.518983 0.1410444180403228 3.7272000000000003 1.2424000000000002 3.8157 1.2719 3.9171
001 07 6 -10.395671261249902 128.514 2.9816209845564132 1 2 0 0 1 2 0 0 250.183 -193.874 165.64000000000001 -0.5326370441922239 1.8634920013506435 102.1735 -0.011502 -0.022789 3.186684 2.723871 0.092222 0.1039953479151832 2.591992 2.824094 0.550857 0.09995752676178692 3.8964 1.2988 3.871 1.2903333333333333 3.8535
001 07 8 -5.652977722111231 84.96900000000001 2.0524068990503235 0 2 0 0 2 1 0 0 267.254 -167.402 290.429 0.9751746554235285 0.01873528591449503 288.62649999999996 -0.176912 -0.097454 3.27859 2.802005 0.084884 0.04828771045859735 2.648818 2.900328 0.477054 0.19611427151620894 4.0963 2.04815 3.8889000000000005 1.9444500000000002 3.9044
001 07 10 -8.572370146844293 75.616 1.999311543963743 1 1 0 0 0 1 0 0 268.366 -159.160 192.29299999999998 0.9142038451737712 0.0657575524064867 188.1685 -0.120649 0.138983 3.150007 2.913585 0.049083 0.008795888641859885 2.682899 2.893416 0.22743 0.16548419842691928 3.8371 1.91855 3.811 1.9055 3.8613
001 08 1 -2.570757388281635 27.966000000000008 3.9899569865137825 3 1 0 0 1 1 0 0 242.887 -86.031 54.381 0.3851529026682122 0.5448915735952368 46.02200000000002 -0.188279 0.3145 3.137013 2.98016 0.068444 0.07275567355425511 2.486389 2.787031 0.371182 0.05134645865425708 3.7641 0.941025 3.9571 0.989275 3.9615
001 08 2 -11.431596050294388 128.542 3.064307263767159 1 2 0 0 4 1 0 0 255.689 -199.409 178.144 0.6443326746901384 0.2927839116719243 162.304 -0.075193 0.119059 3.116649 2.838123 0.11186 0.06706106495575508 2.52764 2.735448 0.552302 0.15675361435067456 3.8164 1.2721333333333333 3.9101 1.3033666666666666 4.0112
001 08 6 -7.2928794627584494 113.488 3.0311335572444333 1 2 0 0 1 2 0 0 250.337 -179.003 154.988 -0.4199292848478594 1.651035310593178 99.96999999999998 0.048389 -0.019759 3.098674 2.739677 0.104088 0.0992706197237296 2.560907 2.805334 0.586326 0.1073863494552885 3.9254000000000002 1.3084666666666667 3.9076000000000004 1.3025333333333335 3.9003
001 08 8 -6.032817389856476 85.919 2.0700399823628963 0 2 0 0 2 1 0 0 266.098 -167.195 295.905 0.9704094219428534 0.02235833253891514 293.716 -0.187403 -0.065077 3.300814 2.794231 0.08123 0.05072533126883781 2.653083 2.877881 0.46978 0.18119308638116785 4.0141 2.00705 3.8536 1.9268 3.8732
001 08 10 -9.098372289022265 76.896 2.001470884892844 1 1 0 0 0 1 0 0 266.971 -159.046 191.961 0.9387896499809859 0.04662118731268863 189.0235 -0.138614 0.152112 3.181089 2.905621 0.044075 0.020461242443540254 2.689371 2.88873 0.220119 0.1560787772162934 3.8014 1.9007 3.7974 1.8987 3.8472
001 09 1 -4.556099104011196 34.55000000000001 3.858250298614019 3 1 0 0 1 1 0 0 248.769 -98.497 60.784000000000006 0.4370229007633591 0.49139367018323155 52.22900000000001 -0.174694 0.390864 3.107146 3.010039 0.055877 0.08109591611789092 2.499468 2.772676 0.304105 0.10902948500902562 3.7466 0.93665 3.9384 0.9846 3.9622
001 09 2 -25.4014657118733 179.976 2.9538308124806596 1 2 0 0 4 1 0 0 254.609 -249.763 235.597 0.30047496360310194 0.6358403358102425 194.39550000000003 -0.07395 0.261763 3.211809 2.770584 0.08573 0.0663443464358494 2.589174 2.668346 0.439471 0.14433494873152974 3.4537 1.1512333333333333 3.6954000000000002 1.2318 3.8963
001 09 6 -8.519764794174563 115.336 3.0449911693212184 1 2 0 0 1 2 0 0 252.560 -183.075 196.886 -0.08452607092429133 1.1159688928531608 143.504 0.032179 -0.012658 3.059278 2.797007 0.102487 0.0900979059153615 2.529702 2.822631 0.592344 0.13663163866030448 4.0366 1.3455333333333332 3.9285000000000005 1.3095 3.9126
001 09 8 -4.110635024996284 86.277 2.0842645463217573 0 2 0 0 2 1 0 0 262.646 -164.101 321.803 0.9554137158447872 0.033816652839580665 318.216 -0.130838 -0.081109 3.283853 2.746035 0.089457 0.06995669772318684 2.639397 2.839142 0.538938 0.1910350338192796 4.0284 2.0142 3.8682999999999996 1.9341499999999998 3.8936
